  blen   clen S U reps  ns  sp|     naive/s|   trimmed/s    as pct nv|  ftrimmed/s    as pct nv|
    15     15 1 0    1   5   5|    991051.6|   7220140.5        728.5|  +8710759.9       +878.9|
    40     15 0 1    1   5   5|    983744.9|   4389151.9        446.2|  +4931720.6       +501.3|
    40     15 1 1    1   5   5|    830905.5|   4646808.6        559.2|  +5186991.0       +624.3|
    55     55 0 0    5   5   5|    275783.7|   7079915.8       2567.2|  +9306184.6      +3374.5|
    55     55 1 0    5   5   5|    261015.9|   7221265.1       2766.6|  +9303924.2      +3564.5|
   140     55 0 1    5   5   5|    234108.2|   4147401.5       1771.6|  +4799591.0      +2050.2|
   140     55 1 1    5   5   5|    222501.0|   4323139.1       1943.0|  +4662593.8      +2095.5|
   105    105 0 0   10   5   5|    143286.5|   6937763.3       4841.9|  +8869037.7      +6189.7|
   105    105 1 0   10   5   5|    139007.5|   7032463.7       5059.1|  +9218339.4      +6631.5|
   265    105 0 1   10   5   5|    121339.1|   4381291.5       3610.8|  +5000198.1      +4120.8|
   265    105 1 1   10   5   5|    115870.6|   4261483.2       3677.8|  +4893652.3      +4223.4|
   505    505 0 0   50   5   5|     29644.5|   6828287.5      23033.9|  +8627772.6     +29104.1|
   505    505 1 0   50   5   5|     29175.6|   6602705.1      22630.9|  +8445703.7     +28947.8|
  1265    505 0 1   50   5   5|     25093.3|   3232733.4      12882.8|  +3698901.7     +14740.6|
  1265    505 1 1   50   5   5|     21721.5|   3447804.7      15872.8|  +3708393.2     +17072.4|
  1005   1005 0 0  100   5   5|     14937.1|   6446973.0      43160.7|  +7637471.2     +51130.7|
  1005   1005 1 0  100   5   5|     14721.2|   6508084.7      44208.9|  +7768290.2     +52769.3|
  2515   1005 0 1  100   5   5|     12686.9|   3229068.3      25452.0|  +4258006.6     +33562.3|
  2515   1005 1 1  100   5   5|     12611.8|   3474194.3      27547.2|  +3716137.2     +29465.6|
    25     25 0 0    1   5  10|   1222863.5|   6651206.3        543.9|  +8462211.6       +692.0|
    25     25 1 0    1   5  10|    979097.2|   6754517.8        689.9|  +8389980.6       +856.9|
    70     25 0 1    1   5  10|    922259.8|   2742917.0        297.4|  +3001443.0       +325.4|
    70     25 1 1    1   5  10|    730622.1|   2713271.0        371.4|  +2987895.6       +409.0|
    85     85 0 0    5   5  10|    194198.4|   6731569.4       3466.3|  +8599485.2      +4428.2|
    85     85 1 0    5   5  10|    186070.0|   7080285.1       3805.2|  +8498316.9      +4567.3|
   230     85 0 1    5   5  10|    148388.7|   2743581.5       1848.9|  +2906571.3      +1958.8|
   230     85 1 1    5   5  10|    143592.2|   2721770.9       1895.5|  +2938693.5      +2046.6|
   160    160 0 0   10   5  10|     95362.7|   6859387.0       7192.9|  +8436995.2      +8847.3|
   160    160 1 0   10   5  10|     93576.7|   6892873.1       7366.0|  +8453131.8      +9033.4|
   430    160 0 1   10   5  10|     73164.3|   2669907.3       3649.2|  +2903064.1      +3967.9|
   430    160 1 1   10   5  10|     71873.7|   2450208.3       3409.0|  +2953653.4      +4109.5|
   760    760 0 0   50   5  10|     19142.4|   6441733.0      33651.7|  +7877947.0     +41154.5|
   760    760 1 0   50   5  10|     19094.7|   6358162.3      33298.0|  +8126152.9     +42557.1|
  2030    760 0 1   50   5  10|     14640.5|   2203811.5      15052.9|  +2432492.6     +16614.9|
  2030    760 1 1   50   5  10|     14554.8|   2409211.8      16552.6|  +2553920.6     +17546.9|
  1510   1510 0 0  100   5  10|      9570.8|   4599127.5      48053.8|  +4972571.9     +51955.7|
  1510   1510 1 0  100   5  10|      9476.0|   4719171.9      49801.2|  +6275554.2     +66225.6|
  4030   1510 0 1  100   5  10|      7311.8|   1999713.8      27349.1|  +2122204.2     +29024.3|
  4030   1510 1 1  100   5  10|      7287.3|  +2266098.8     +31096.4|   2045348.2      28067.2|
   105    105 0 0    1   5  50|   1022402.9|   5058852.4        494.8|  +6099303.8       +596.6|
   105    105 1 0    1   5  50|    930441.2|   4964326.2        533.5|  +6018844.4       +646.9|
   310    105 0 1    1   5  50|    545061.4|    656541.4        120.5|   +661768.8       +121.4|
   310    105 1 1    1   5  50|    503470.2|    654515.7        130.0|   +668171.1       +132.7|
   325    325 0 0    5   5  50|     45838.6|   5052136.5      11021.6|  +5863801.8     +12792.3|
   325    325 1 0    5   5  50|     45649.4|   5216188.5      11426.6|  +6243940.9     +13678.0|
   950    325 0 1    5   5  50|     24319.7|    646134.8       2656.8|   +663876.5      +2729.8|
   950    325 1 1    5   5  50|     23953.7|    645099.1       2693.1|   +663748.1      +2771.0|
   600    600 0 0   10   5  50|     21148.8|   5059489.7      23923.3|  +5862526.3     +27720.4|
   600    600 1 0   10   5  50|     21047.5|   4952105.2      23528.2|  +5646388.6     +26826.9|
  1750    600 0 1   10   5  50|     11118.8|    628645.6       5653.9|   +641688.6      +5771.2|
  1750    600 1 1   10   5  50|     11081.6|    627355.0       5661.2|   +640861.0      +5783.1|
  2800   2800 0 0   50   5  50|      3991.3|   3654498.9      91561.1|  +4234958.1    +106104.1|
  2800   2800 1 0   50   5  50|      3925.6|   3599802.6      91701.8|  +4095528.9    +104330.0|
  8150   2800 0 1   50   5  50|      2080.8|    532856.2      25608.7|   +600968.7     +28882.1|
  8150   2800 1 1   50   5  50|      2079.5|    560234.8      26940.8|   +588013.1     +28276.6|
  5550   5550 0 0  100   5  50|      1960.8|   2775547.8     141552.9|  +3665323.8    +186931.5|
  5550   5550 1 0  100   5  50|      1963.7|   3034329.5     154518.7|  +3447525.5    +175560.1|
 16150   5550 0 1  100   5  50|      1027.1|    493410.6      48039.0|   +507766.1     +49436.7|
 16150   5550 1 1  100   5  50|      1006.8|   +498566.0     +49519.1|    487219.9      48392.1|
   205    205 0 0    1   5 100|   1051328.8|   3526300.5        335.4|  +4166362.8       +396.3|
   205    205 1 0    1   5 100|    853681.0|   3539861.7        414.7|  +3882312.3       +454.8|
   610    205 0 1    1   5 100|   +379879.4|    341617.2         89.9|    343719.3         90.5|
   610    205 1 1    1   5 100|   +360439.8|    339483.4         94.2|    330540.6         91.7|
   625    625 0 0    5   5 100|     20612.5|   3093739.1      15009.0|  +3844234.7     +18650.0|
   625    625 1 0    5   5 100|     20606.9|   3380120.3      16402.9|  +3794545.7     +18414.0|
  1850    625 0 1    5   5 100|      8311.8|    335888.2       4041.1|   +336777.6      +4051.8|
  1850    625 1 1    5   5 100|      8244.5|    333360.1       4043.4|   +335873.7      +4073.9|
  1150   1150 0 0   10   5 100|      9308.4|   3397441.0      36498.7|  +3709308.0     +39849.0|
  1150   1150 1 0   10   5 100|      9018.9|   3201559.0      35498.4|  +3742824.7     +41499.8|
  3400   1150 0 1   10   5 100|      3743.7|    332648.8       8885.7|   +336796.8      +8996.5|
  3400   1150 1 1   10   5 100|      3744.1|    330852.1       8836.6|   +336458.8      +8986.4|
  5350   5350 0 0   50   5 100|      1724.6|   2401014.3     139224.2|  +2763862.8    +160264.1|
  5350   5350 1 0   50   5 100|      1718.8|   2635688.8     153343.5|  +2676102.4    +155694.8|
 15800   5350 0 1   50   5 100|       694.3|    290626.1      41856.9|   +294792.9     +42457.1|
 15800   5350 1 1   50   5 100|       642.9|   +295690.6     +45996.5|    294882.4      45870.7|
 10600  10600 0 0  100   5 100|       859.1|   1783973.1     207666.7|  +2093887.1    +243742.8|
 10600  10600 1 0  100   5 100|       852.1|  +2063781.2    +242198.2|   1988917.3     233412.4|
 31300  10600 0 1  100   5 100|       344.8|    257591.5      74712.9|   +257733.5     +74754.1|
 31300  10600 1 1  100   5 100|       345.0|    262086.2      75972.3|   +262723.7     +76157.1|
    12     12 0 0    1  10   1|    857353.0|   7579285.2        884.0|  +9858451.0      +1149.9|
    12     12 1 0    1  10   1|    740143.1|   7710910.5       1041.8| +10041622.1      +1356.7|
    26     12 0 1    1  10   1|    768423.6|   6895476.7        897.4|  +8454614.5      +1100.3|
    26     12 1 1    1  10   1|    675756.0|   6604936.8        977.4|  +8740956.7      +1293.5|
    56     56 0 0    5  10   1|    253764.8|   7360062.7       2900.3| +10568271.2      +4164.6|
    56     56 1 0    5  10   1|    241691.7|   7695722.6       3184.1| +10126007.3      +4189.6|
   118     56 0 1    5  10   1|    227034.3|   6844093.7       3014.6|  +8625183.3      +3799.1|
   118     56 1 1    5  10   1|    196747.8|   6854218.5       3483.8|  +7996182.7      +4064.2|
   111    111 0 0   10  10   1|    139861.0|   7653046.8       5471.9|  +9782378.4      +6994.4|
   111    111 1 0   10  10   1|    132910.5|   7589945.4       5710.6|  +9894702.1      +7444.6|
   233    111 0 1   10  10   1|    121863.6|   6465671.6       5305.7|  +8441393.7      +6926.9|
   233    111 1 1   10  10   1|    118773.0|   6697787.7       5639.1|  +9348150.8      +7870.6|
   551    551 0 0   50  10   1|     29060.5|   7064646.0      24310.1|  +9134062.8     +31431.2|
   551    551 1 0   50  10   1|     28935.6|   7167632.5      24771.0|  +8925300.5     +30845.4|
  1153    551 0 1   50  10   1|     26110.7|   4059830.6      15548.5|  +5304329.3     +20314.8|
  1153    551 1 1   50  10   1|     26037.7|   4551012.4      17478.6|  +5668578.4     +21770.7|
  1101   1101 0 0  100  10   1|     14687.3|   4798100.4      32668.4|  +5856244.2     +39872.9|
  1101   1101 1 0  100  10   1|     14527.6|   4935782.9      33975.1|  +5601915.4     +38560.4|
  2303   1101 0 1  100  10   1|     13252.5|   3945761.8      29773.8|  +5372645.7     +40540.7|
  2303   1101 1 1  100  10   1|     13208.9|   4506928.5      34120.3|  +5183200.9     +39240.1|
    20     20 0 0    1  10   5|    878907.2|   7073870.4        804.8|  +9317159.3      +1060.1|
    20     20 1 0    1  10   5|    741213.3|   7260445.1        979.5|  +9256437.6      +1248.8|
    50     20 0 1    1  10   5|    728058.7|   4543521.5        624.1|  +4944264.6       +679.1|
    50     20 1 1    1  10   5|    649536.7|   4441479.6        683.8|  +5178706.1       +797.3|
    80     80 0 0    5  10   5|    195201.3|   7254994.2       3716.7|  +8945313.8      +4582.6|
    80     80 1 0    5  10   5|    187339.7|   7093442.7       3786.4|  +8385043.8      +4475.9|
   190     80 0 1    5  10   5|    168185.8|   4381380.2       2605.1|  +4741112.9      +2819.0|
   190     80 1 1    5  10   5|    162898.4|   4332072.4       2659.4|  +4859575.8      +2983.2|
   155    155 0 0   10  10   5|    100249.2|   6970839.3       6953.5|  +8716814.8      +8695.1|
   155    155 1 0   10  10   5|     98709.2|   6725415.3       6813.4|  +9190801.7      +9311.0|
   365    155 0 1   10  10   5|     86886.3|   4212157.0       4847.9|  +4811524.3      +5537.7|
   365    155 1 1   10  10   5|     84983.5|   4210904.3       4955.0|  +4807318.5      +5656.8|
   755    755 0 0   50  10   5|     20505.8|   6636195.2      32362.6|  +8132722.2     +39660.6|
   755    755 1 0   50  10   5|     20503.2|   6744674.1      32895.7|  +8498634.0     +41450.3|
  1765    755 0 1   50  10   5|     17576.5|   3195455.5      18180.3|  +3567707.6     +20298.2|
  1765    755 1 1   50  10   5|     17809.7|   3241070.3      18198.4|  +3428786.2     +19252.4|
  1505   1505 0 0  100  10   5|     10347.8|   4634338.5      44785.6|  +5484077.7     +52997.4|
  1505   1505 1 0  100  10   5|     10304.1|   5529093.5      53659.2|  +5633170.1     +54669.3|
  3515   1505 0 1  100  10   5|      8907.5|   2776361.8      31168.8|  +3316963.0     +37237.8|
  3515   1505 1 1  100  10   5|      8983.7|   3011036.1      33516.7|  +3259709.5     +36284.7|
    30     30 0 0    1  10  10|    872829.2|   6862472.5        786.2|  +8387203.9       +960.9|
    30     30 1 0    1  10  10|    750499.3|   7214763.3        961.3|  +8466059.0      +1128.1|
    80     30 0 1    1  10  10|    706970.1|   2557207.5        361.7|  +3017047.9       +426.8|
    80     30 1 1    1  10  10|    618657.0|   2751994.0        444.8|  +3015395.5       +487.4|
   110    110 0 0    5  10  10|    149369.8|   6828102.1       4571.3|  +8488681.9      +5683.0|
   110    110 1 0    5  10  10|    146168.1|   6917652.7       4732.7|  +8773076.5      +6002.0|
   280    110 0 1    5  10  10|    117524.8|   2748037.4       2338.3|  +2941273.0      +2502.7|
   280    110 1 1    5  10  10|    116488.9|   2750805.2       2361.4|  +2961417.6      +2542.2|
   210    210 0 0   10  10  10|     73786.0|   6841137.1       9271.6|  +8577608.1     +11625.0|
   210    210 1 0   10  10  10|     73024.8|   6732015.5       9218.8|  +8253717.7     +11302.6|
   530    210 0 1   10  10  10|     59164.5|   2662407.5       4500.0|  +2842997.2      +4805.2|
   530    210 1 1   10  10  10|     58499.8|   2680052.6       4581.3|  +2932588.2      +5013.0|
  1010   1010 0 0   50  10  10|     14993.4|   6104842.3      40716.8|  +7586067.8     +50596.0|
  1010   1010 1 0   50  10  10|     14944.1|   6106176.6      40860.2|  +7733769.5     +51751.4|
  2530   1010 0 1   50  10  10|     11874.3|   2264102.0      19067.3|  +2445866.5     +20598.0|
  2530   1010 1 1   50  10  10|     11818.5|   2232598.9      18890.7|  +2563139.2     +21687.5|
  2010   2010 0 0  100  10  10|      7517.2|   4572693.6      60829.8|  +5425892.7     +72179.7|
  2010   2010 1 0  100  10  10|      7472.6|   4043515.6      54111.4|  +6580094.9     +88056.6|
  5030   2010 0 1  100  10  10|      5944.0|   1970782.0      33156.0|  +2159192.6     +36325.7|
  5030   2010 1 1  100  10  10|      5658.4|   1973665.0      34880.3|  +2146999.1     +37943.6|
   110    110 0 0    1  10  50|    834455.4|   5176476.3        620.3|  +6385510.3       +765.2|
   110    110 1 0    1  10  50|    717782.3|   5215453.0        726.6|  +6128300.2       +853.8|
   320    110 0 1    1  10  50|    464191.3|    659389.9        142.1|   +669372.3       +144.2|
   320    110 1 1    1  10  50|    435856.4|    657553.3        150.9|   +666935.2       +153.0|
   350    350 0 0    5  10  50|     43437.7|   4418114.9      10171.2|  +6088129.9     +14015.8|
   350    350 1 0    5  10  50|     42902.6|   5112714.6      11917.0|  +5939010.0     +13843.0|
  1000    350 0 1    5  10  50|     23450.9|    651794.4       2779.4|   +658958.0      +2809.9|
  1000    350 1 1    5  10  50|     23349.9|   +650164.6      +2784.4|    628164.3       2690.2|
   650    650 0 0   10  10  50|     19676.0|   4755976.9      24171.5|  +5807507.9     +29515.8|
   650    650 1 0   10  10  50|     19825.4|   4771256.5      24066.4|  +5584010.8     +28165.9|
  1850    650 0 1   10  10  50|     10769.9|    626876.9       5820.6|   +642771.1      +5968.2|
  1850    650 1 1   10  10  50|     10716.4|    633336.8       5910.0|   +654539.3      +6107.8|
  3050   3050 0 0   50  10  50|      3771.5|   3432782.3      91018.0|  +4035311.9    +106993.7|
  3050   3050 1 0   50  10  50|      3757.5|   3462492.8      92148.9|  +4134867.5    +110043.1|
  8650   3050 0 1   50  10  50|      2019.7|   +587213.2     +29073.7|    584153.0      28922.2|
  8650   3050 1 1   50  10  50|      2010.7|   +591448.8     +29414.9|    576335.4      28663.2|
  6050   6050 0 0  100  10  50|      1866.8|   2801281.3     150056.1|  +3079816.9    +164976.4|
  6050   6050 1 0  100  10  50|      1864.4|   2691932.9     144387.8|  +3105430.0    +166566.7|
 17150   6050 0 1  100  10  50|      1002.4|    475792.2      47465.8|   +476132.0     +47499.7|
 17150   6050 1 1  100  10  50|      1001.2|    474728.8      47416.9|   +475128.9     +47456.9|
   210    210 0 0    1  10 100|    780659.6|   3544183.5        454.0|  +3931891.6       +503.7|
   210    210 1 0    1  10 100|    675045.4|   3523579.4        522.0|  +3855877.1       +571.2|
   620    210 0 1    1  10 100|    341894.9|    341321.3         99.8|   +345419.8       +101.0|
   620    210 1 1    1  10 100|    323690.3|    343709.0        106.2|   +345432.7       +106.7|
   650    650 0 0    5  10 100|     20192.8|   3457567.2      17122.8|  +3891143.3     +19270.0|
   650    650 1 0    5  10 100|     19992.8|   3429084.1      17151.6|  +3874711.8     +19380.5|
  1900    650 0 1    5  10 100|      8198.2|    336062.7       4099.2|   +337419.3      +4115.8|
